"","Management","Area","Order","Family","Genus","Species","Model","Meeting_or_reference","Case","Notes","Stock","G.short","G.Species","Manage.short","LME","Area.broad","Area.long","Area.narrow","Stock.short","Stock.no.species"
"ICES-AFWG_NEA1-2_Melanogrammus_aeglefinus","ICES-AFWG","NEA1-2","Gadiformes","Gadidae","Melanogrammus","aeglefinus","SAM","WKARCT 2015","Y","Catch.13 is 13+","ICES-AFWG_NEA1-2_Melanogrammus_aeglefinus","M.","M. aeglefinus","ICES","NE Atlantic","NEA","NE Arctic","","NE Arctic  M. aeglefinus","NE Arctic "
"ICES-AFWG_NEA1-2_Pollachius_virens","ICES-AFWG","NEA1-2","Gadiformes","Gadidae","Pollachius","virens","SAM","Interbenchmark 2014","","Catch.13 is 13+","ICES-AFWG_NEA1-2_Pollachius_virens","P.","P. virens","ICES","NE Atlantic","NEA","NE Arctic","","NE Arctic  P. virens","NE Arctic "
"ICES-HAWG_ NS-IV 3a,7d_Clupea_harengus","ICES-HAWG"," NS-IV 3a,7d","Clupeiformes","Clupeidae","Clupea","harengus","FLSAM","Kell et a. 2007, WKPELA 2012","Y","","ICES-HAWG_ NS-IV 3a,7d_Clupea_harengus","C.","C. harengus","ICES","NE Atlantic","NS","North Sea","","North Sea  C. harengus","North Sea "
"ICES-HAWG_CS 6a- 7b-7c_Clupea_harengus","ICES-HAWG","CS 6a- 7b-7c","Clupeiformes","Clupeidae","Clupea","harengus","FLSAM","WKWEST 2015, Kell et al. 2007","Y","","ICES-HAWG_CS 6a- 7b-7c_Clupea_harengus","C.","C. harengus","ICES","NE Atlantic","CS","Celtic Sea","","Celtic Sea  C. harengus","Celtic Sea "
"ICES-HAWG_NS_Ammodytes_dubius","ICES-HAWG","NS","Perciformes","Ammodytidae","Ammodytes","dubius","SMS-effort model","ICES. 2010a. Report of the Benchmark Workshop on Sandeel (WKSAN), 6–10 September 2010. Copenhagen, Denmark. ICES CM 2010/ACOM:57. 201 pp","","Data are for Subarea 1 only","ICES-HAWG_NS_Ammodytes_dubius","A.","A. dubius","ICES","NE Atlantic","NS","North Sea","","North Sea  A. dubius","North Sea "
"ICES-HAWG_WBS 22-24_Clupea_harengus","ICES-HAWG","WBS 22-24","Clupeiformes","Clupeidae","Clupea","harengus","FLSAM","Kell et al. 2007","Y","","ICES-HAWG_WBS 22-24_Clupea_harengus","C.","C. harengus","ICES","NE Atlantic","BS","Baltic Sea","22-24","Baltic Sea 22-24 C. harengus","Baltic Sea 22-24"
"ICES-NWWG_FA5a_Pollachius_virens","ICES-NWWG","FA5a","Gadiformes","Gadidae","Pollachius","virens","SCA","ICES 2010","","","ICES-NWWG_FA5a_Pollachius_virens","P.","P. virens","ICES","NE Atlantic","I-F","Faroes","5a","Faroes 5a P. virens","Faroes 5a"
"ICES-NWWG_FA5b_Melanogrammus_aeglefinus","ICES-NWWG","FA5b","Gadiformes","Gadidae","Melanogrammus","aeglefinus","XSA","","","Catch at age available, but not easily entered","ICES-NWWG_FA5b_Melanogrammus_aeglefinus","M.","M. aeglefinus","ICES","NE Atlantic","I-F","Faroes","5b","Faroes 5b M. aeglefinus","Faroes 5b"
"ICES-NWWG_FA5b_Pollachius_virens","ICES-NWWG","FA5b","Gadiformes","Gadidae","Pollachius","virens","XSA","WKROUND 2010","","Catch.14 is 14+","ICES-NWWG_FA5b_Pollachius_virens","P.","P. virens","ICES","NE Atlantic","I-F","Faroes","5b","Faroes 5b P. virens","Faroes 5b"
"ICES-NWWG_FAPL5b1_Gadus_morhua","ICES-NWWG","FAPL5b1","Gadiformes","Gadidae","Gadus","morhua","XSA","","","Catch.10 is 10+","ICES-NWWG_FAPL5b1_Gadus_morhua","G.","G. morhua","ICES","NE Atlantic","I-F","Faroes","5b","Faroes 5b G. morhua","Faroes 5b"
"ICES-NWWG_ICE-Summer_Clupea_harengus","ICES-NWWG","ICE-Summer","Clupeiformes","Clupeidae","Clupea","harengus","NFT-ADAPT (VPA/ADPAT version 3.3.0 NOAA Fisheries toolbox) and TASACS ( CPA module; Skagen and Skalevik 2009)","","","Catch.15 is 15+","ICES-NWWG_ICE-Summer_Clupea_harengus","C.","C. harengus","ICES","NE Atlantic","I-F","Iceland","","Iceland  C. harengus","Iceland "
"ICES-NWWG_ICE5a_Gadus_morhua","ICES-NWWG","ICE5a","Gadiformes","Gadidae","Gadus","morhua","ADCAM SCA","","","","ICES-NWWG_ICE5a_Gadus_morhua","G.","G. morhua","ICES","NE Atlantic","I-F","Iceland","5a","Iceland 5a G. morhua","Iceland 5a"
"ICES-NWWG_ICE5a_Melanogrammus_aeglefinus","ICES-NWWG","ICE5a","Gadiformes","Gadidae","Melanogrammus","aeglefinus","Adapt","","","Catch.10 is 10+","ICES-NWWG_ICE5a_Melanogrammus_aeglefinus","M.","M. aeglefinus","ICES","NE Atlantic","I-F","Iceland","5a","Iceland 5a M. aeglefinus","Iceland 5a"
"ICES-WGBFAS_B28.1_Clupea_harengus","ICES-WGBFAS","B28.1","Clupeiformes","Clupeidae","Clupea","harengus","XSA","","","Catch.8 is 8+","ICES-WGBFAS_B28.1_Clupea_harengus","C.","C. harengus","ICES","NE Atlantic","BS","Baltic Sea","28","Baltic Sea 28 C. harengus","Baltic Sea 28"
